model,rew_mean,rew_std,wins_rate,wins_len_mean,wins_len_std,draws_rate,draws_len_mean,draws_len_std,losses_rate,losses_len_mean,losses_len_std,strategy,seed,n_eval_episodes,played
skilled-serenity,-4.6599,28.77113887196682,0.3816,18.212,2.231,0.0228,20.0,0.0,0.5956,18.503,2.011,rules,1337,10000,false
hardy-galaxy,-7.1772,29.50113557407579,0.3287,17.852,2.342,0.0205,20.0,0.0,0.6508,18.674,1.873,rules,1337,10000,false
likely-valley,0.2214,29.4572161284803,0.4194,17.535,2.44,0.021,20.0,0.0,0.5596,19.171,1.426,rules,1337,10000,true
lively-cosmos,5.116,27.563289789138015,0.5506,17.979,2.138,0.028,20.0,0.0,0.4214,18.827,1.815,rules,1337,10000,false
dark-salad,-0.9506,29.59648897487673,0.4317,18.131,2.41,0.0215,20.0,0.0,0.5468,19.054,1.549,rules,1337,10000,false
cosmic-firebrand,-11.8442,28.9363150100354,0.2851,17.899,2.572,0.0196,20.0,0.0,0.6953,18.266,2.168,rules,1337,10000,false
true-star,9.997,27.738103594153657,0.5868,17.739,2.239,0.0248,20.0,0.0,0.3884,19.398,1.159,rules,1337,10000,false
fiery-water,-1.2217,29.33660766192983,0.402,17.541,2.468,0.0246,20.0,0.0,0.5734,19.005,1.573,rules,1337,10000,true
best_model,0.4445,27.82856661328427,0.4368,17.879,2.025,0.0289,20.0,0.0,0.5343,19.182,1.414,rules,1337,10000,false
kind-surf,-4.3248,29.25758542600534,0.3744,17.786,2.446,0.0194,20.0,0.0,0.6062,18.815,1.714,rules,1337,10000,true
easy-shape,2.1162,26.956158805734916,0.5163,18.561,1.698,0.0274,20.0,0.0,0.4563,18.89,1.766,rules,1337,10000,false
smart-dragon,-3.6798,27.178868114033005,0.4087,17.979,2.234,0.0264,20.0,0.0,0.5649,18.395,2.037,rules,1337,10000,false
warm-river,-1.1706,29.35471845615284,0.4368,18.168,2.444,0.0229,20.0,0.0,0.5403,18.862,1.692,rules,1337,10000,false
upbeat-darkness,-23.6583,29.718629529471915,0.2006,18.126,2.645,0.0164,20.0,0.0,0.783,17.036,2.633,rules,1337,10000,false
autumn-night,7.2756,25.786020333506293,0.5846,18.189,2.018,0.0276,20.0,0.0,0.3878,19.236,1.243,rules,1337,10000,false
blooming-bird,8.8701,27.045957664501362,0.588,17.63,2.328,0.0269,20.0,0.0,0.3851,18.95,1.506,rules,1337,10000,false
zesty-sound,-3.5808,29.317296453800104,0.3899,17.907,2.423,0.0241,20.0,0.0,0.586,18.751,1.768,rules,1337,10000,true
helpful-sound,-12.139,27.772322175144087,0.2727,17.883,2.37,0.0192,20.0,0.0,0.7081,18.399,1.934,rules,1337,10000,true
mild-aaldvark,4.5365,26.23031962729391,0.5697,18.673,1.747,0.0249,20.0,0.0,0.4054,18.972,1.602,rules,1337,10000,false
rich-mountain,0.0783,29.369909245859102,0.4441,17.918,2.492,0.0235,20.0,0.0,0.5324,18.952,1.615,rules,1337,10000,false
earnest-night,0.0783,29.369909245859102,0.4441,17.918,2.492,0.0235,20.0,0.0,0.5324,18.952,1.615,rules,1337,10000,false
chocolate-cherry,-29.6083,25.692918695819674,0.1305,18.808,2.11,0.0142,20.0,0.0,0.8553,17.119,2.587,rules,1337,10000,true
bumbling-leaf,2.7509,27.470617925157782,0.521,18.341,1.866,0.0288,20.0,0.0,0.4502,18.788,1.795,rules,1337,10000,false
silver-thunder,-3.8025,28.930414683339748,0.3762,17.68,2.473,0.0204,20.0,0.0,0.6034,18.798,1.68,rules,1337,10000,true
graceful-darkness,7.9835,26.660540649994328,0.5909,18.067,2.29,0.0253,20.0,0.0,0.3838,19.081,1.324,rules,1337,10000,false
spring-snowflake,-1.2033,29.59116032044029,0.4337,18.107,2.438,0.0217,20.0,0.0,0.5446,18.893,1.677,rules,1337,10000,false
atomic-dragon,-7.8427,28.798849919918677,0.3268,17.729,2.404,0.0219,20.0,0.0,0.6513,18.489,1.917,rules,1337,10000,true
snowy-shape,5.8647,26.831697559230204,0.5486,18.327,2.025,0.0253,20.0,0.0,0.4261,19.157,1.333,rules,1337,10000,false
laced-pond,8.0754,26.627570577129262,0.6104,18.237,2.354,0.0228,20.0,0.0,0.3668,18.989,1.239,rules,1337,10000,false
amber-lake,3.1955,29.016710353691025,0.4884,17.472,2.293,0.0236,20.0,0.0,0.488,18.725,1.862,rules,1337,10000,false
